fechas,valor
05/10/2020,144
02/10/2020,144
01/10/2020,141
30/09/2020,140
29/09/2020,140
28/09/2020,139
25/09/2020,139
24/09/2020,141
23/09/2020,139
22/09/2020,138
21/09/2020,135
18/09/2020,134
17/09/2020,135
16/09/2020,135
15/09/2020,127
14/09/2020,128
11/09/2020,127
10/09/2020,127
09/09/2020,127
08/09/2020,127
07/09/2020,127
04/09/2020,128
03/09/2020,130
02/09/2020,129
01/09/2020,129
31/08/2020,131
28/08/2020,132
27/08/2020,134
26/08/2020,133
25/08/2020,133
24/08/2020,133
21/08/2020,134
20/08/2020,131
19/08/2020,129
18/08/2020,127
17/08/2020,127
14/08/2020,127
13/08/2020,128
12/08/2020,127
11/08/2020,126
10/08/2020,126
07/08/2020,128
07/08/2020,127
07/08/2020,127
07/08/2020,127
06/08/2020,127
06/08/2020,125
05/08/2020,124
04/08/2020,123
03/08/2020,131
31/07/2020,131
30/07/2020,131
29/07/2020,130
28/07/2020,130
27/07/2020,131
24/07/2020,134
23/07/2020,131
22/07/2020,128
21/07/2020,127
20/07/2020,125
17/07/2020,125
16/07/2020,120
15/07/2020,117
14/07/2020,117
13/07/2020,117
10/07/2020,117
10/07/2020,117
08/07/2020,117
07/07/2020,117
06/07/2020,117
03/07/2020,117
02/07/2020,119
01/07/2020,118
30/06/2020,116
29/06/2020,119
26/06/2020,119
25/06/2020,118
24/06/2020,118
23/06/2020,117
22/06/2020,117
19/06/2020,118
18/06/2020,117
17/06/2020,114
16/06/2020,115
12/06/2020,116
11/06/2020,113
10/06/2020,114
09/06/2020,114
08/06/2020,115
05/06/2020,115
04/06/2020,113
03/06/2020,113
02/06/2020,114
01/06/2020,118
29/05/2020,115
28/05/2020,114
27/05/2020,117
26/05/2020,119
22/05/2020,116
21/05/2020,115
20/05/2020,114
19/05/2020,114
18/05/2020,118
15/05/2020,128
14/05/2020,128
13/05/2020,123
12/05/2020,117
11/05/2020,115
08/05/2020,112
07/05/2020,112
06/05/2020,112
05/05/2020,110
04/05/2020,110
30/04/2020,108
29/04/2020,111
28/04/2020,110
27/04/2020,108
24/04/2020,107
23/04/2020,110
22/04/2020,100
21/04/2020,98
20/04/2020,96
17/04/2020,96
16/04/2020,95
15/04/2020,90
14/04/2020,85
13/04/2020,84
08/04/2020,80
07/04/2020,80
06/04/2020,80
03/04/2020,79
02/04/2020,79
01/04/2020,80
30/03/2020,79
27/03/2020,79
26/03/2020,80
25/03/2020,80
20/03/2020,81
19/03/2020,82
18/03/2020,84
17/03/2020,83
16/03/2020,81
13/03/2020,80
12/03/2020,79
11/03/2020,76
10/03/2020,76
09/03/2020,76
06/03/2020,75
05/03/2020,75
04/03/2020,75
03/03/2020,75
02/03/2020,75
28/02/2020,75
27/02/2020,75
26/02/2020,75
21/02/2020,75
20/02/2020,75
19/02/2020,75
18/02/2020,75
17/02/2020,74
14/02/2020,74
13/02/2020,75
12/02/2020,74
11/02/2020,74
10/02/2020,73
07/02/2020,74
06/02/2020,74
05/02/2020,74
04/02/2020,74
03/02/2020,74
31/01/2020,74
30/01/2020,74
29/01/2020,74
28/01/2020,74
27/01/2020,74
24/01/2020,75
23/01/2020,74
22/01/2020,74
21/01/2020,74
20/01/2020,74
17/01/2020,74
16/01/2020,74
15/01/2020,74
14/01/2020,74
13/01/2020,72
10/01/2020,72
09/01/2020,72
08/01/2020,72
07/01/2020,71
06/01/2020,72
03/01/2020,72
02/01/2020,72
30/12/2019,74
27/12/2019,74
26/12/2019,75
23/12/2019,72
20/12/2019,70
19/12/2019,73
